stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F02573;Vág utca;47.523891;19.055785;;;;1;-160
F02574;Vág utca;47.523954;19.056011;;;;1;18
F02575;Pap Károly utca;47.533557;19.073742;;;;1;-138
F02576;Pap Károly utca;47.533737;19.075415;;;;1;106
F02577;Röppentyű utca;47.534295;19.074619;;;;1;18
F02578;Göncz Árpád városközpont M;47.532219;19.067300;;;;1;-46
F02579;Göncz Árpád városközpont M;47.532515;19.067340;;;;1;-18
F02580;Göncz Árpád városközpont M;47.532365;19.067553;;;;2;
F02581;Göncz Árpád városközpont M;47.532084;19.067991;;;;1;4
F02582;Göncz Árpád városközpont M;47.531816;19.068323;;;;2;
F02583;Hajdú utca;47.531039;19.075560;;;;2;-73
F02584;Béke utca;47.532665;19.080700;;;;1;107
F02585;Béke tér;47.529376;19.080195;;;;2;-160
F02586;Béke tér;47.529167;19.079928;;;;1;-162
F02587;Béke tér;47.529745;19.080488;;;;2;17
F02588;Béke tér;47.530761;19.080820;;;;2;-2
F02589;Béke tér;47.529688;19.081203;;;;1;-50
F02590;Béke tér;47.529373;19.081416;;;;1;128
F02591;Lehel utca / Róbert Károly körút;47.526244;19.078506;;;;2;17
F02592;Lehel utca / Róbert Károly körút;47.526408;19.078799;;;;2;21
F02593;Lehel utca / Róbert Károly körút;47.525833;19.078188;;;;2;-153
F02594;Lehel utca / Róbert Károly körút;47.526137;19.077337;;;;1;-47
F02595;Lehel utca / Róbert Károly körút;47.524888;19.078639;;;;2;133
F02596;Lehel utca / Róbert Károly körút;47.525797;19.077524;;;;1;133
F02597;Lehel utca / Róbert Károly körút;47.526200;19.076952;;;;1;-47
F02598;Lehel utca / Róbert Károly körút;47.526336;19.078348;;;;2;-158
F02599;Göncz Árpád városközpont M;47.531484;19.068084;;;;2;135
F02600;Göncz Árpád városközpont M;47.532974;19.066119;;;;1;137
F02601;Göncz Árpád városközpont M;47.533748;19.066902;;;;1;-163
F02602;Göncz Árpád városközpont M;47.533703;19.065561;;;;1;-43
F02603;Göncz Árpád városközpont M;47.534197;19.067673;;;;1;16
F02604;Göncz Árpád városközpont M;47.533559;19.067434;;;;1;23
F02605;Göncz Árpád városközpont M;47.533388;19.067367;;;;1;32
F02606;Tisza utca;47.523837;19.059397;;;;1;18
F02608;Dózsa György út M;47.524817;19.062438;;;;1;-73
F02609;Dózsa György út M;47.525204;19.063792;;;;1;13
F02610;Dózsa György út M;47.523990;19.063752;;;;1;139
F02611;Dózsa György út M;47.523918;19.062809;;;;1;-160
F02612;Lehel tér M (Gogol utca);47.519601;19.060817;;;;1;107
F02613;Lehel tér;47.518659;19.060859;F02613;;CSLM3LED;2;
F02614;Lehel tér;47.517595;19.060285;F02614;;CSLM3LED;2;-167
F02615;Lehel tér M;47.517354;19.060723;;;;2;
F02616;Lehel tér M;47.517676;19.060152;;;;1;120
F02617;Lehel tér M;47.517271;19.060630;;;;1;-65
F02618;Lehel tér M;47.517093;19.061082;;;;2;-44
F02619;Lehel tér M;47.516167;19.059621;;;;2;-169
F02620;Lehel utca / Dózsa György út;47.521309;19.068598;;;;1;-48
F02621;Lehel utca / Dózsa György út;47.521014;19.069289;;;;2;-128
F02623;Lehel utca / Dózsa György út;47.520427;19.069660;;;;1;133
F02624;Lehel utca / Dózsa György út;47.520751;19.069009;;;;2;52
F02625;Lehel utca / Dózsa György út;47.520744;19.068625;;;;2;-129
F02626;Lehel utca / Dózsa György út;47.521076;19.069780;;;;2;51
F02627;Vágány utca / Róbert Károly körút;47.522187;19.081531;;;;1;-110
F02628;Vágány utca / Róbert Károly körút;47.522052;19.082008;;;;1;62
F02629;Vágány utca / Róbert Károly körút;47.522783;19.080709;;;;2;-157
F02630;Vágány utca / Róbert Károly körút;47.524516;19.081970;;;;1;22
F02631;Vágány utca / Róbert Károly körút;47.523617;19.080987;;;;1;-46
F02632;Vágány utca / Róbert Károly körút;47.523230;19.081478;;;;1;135
F02633;Vágány utca / Róbert Károly körút;47.523842;19.080217;;;;1;133
F02634;Vágány utca / Róbert Károly körút;47.524159;19.080458;;;;2;-47
F02635;Petneházy utca;47.531279;19.085680;;;;1;-158
F02636;Petneházy utca;47.531288;19.085945;;;;1;22
F02637;Göncz Árpád városközpont;47.533217;19.067089;F02637;;CSLM3AHG;1;16
F02638;Göncz Árpád városközpont;47.532171;19.066471;F02638;;CSLM3AHG;1;-164
F02639;Kassák Lajos utca;47.522532;19.066540;;;;1;-49
F02640;Kassák Lajos utca;47.522235;19.066752;;;;1;131
F02641;Honvédkórház;47.529816;19.071509;;;;1;-47
F02642;Honvédkórház;47.530449;19.070169;;;;1;-47
F02643;Honvédkórház;47.530041;19.070699;;;;1;133
F02644;Honvédkórház;47.530044;19.070328;;;;2;133
F02645;Szegedi út;47.528653;19.084137;;;;1;-159
F02646;Szegedi út;47.528167;19.083593;;;;1;129
F02647;Szegedi út;47.527655;19.083818;;;;1;22
F02648;Szegedi út;47.527502;19.083725;;;;1;22
F02649;Radnóti Miklós utca;47.515491;19.051044;;;;1;25
F02650;Radnóti Miklós utca;47.515860;19.049783;;;;1;-154
F02653;Angyalföld vasútállomás;47.549176;19.089824;;;;2;137
F02654;Angyalföld vasútállomás;47.548968;19.090355;;;;2;-42
F02655;Rokolya utca;47.541746;19.092049;;;;1;22
F02656;Rokolya utca;47.541719;19.091757;;;;1;-158
F02657;Kucsma utca;47.544470;19.093632;;;;1;22
F02658;Kucsma utca;47.544560;19.093433;;;;1;-159
F02659;Rokolya utca;47.542539;19.087016;;;;2;21
F02660;Rokolya utca;47.542701;19.086976;;;;2;-159
F02661;Rokolya utca;47.542290;19.087031;;;;2;18
F02662;Rokolya utca;47.542075;19.086513;;;;2;-160
F02663;Rozsnyay utca;47.540215;19.077492;;;;1;20
F02664;Rozsnyay utca;47.539484;19.076826;;;;1;-163
F02665;Frangepán utca;47.536336;19.075377;;;;1;-163
F02666;Fáy utca;47.537128;19.075962;;;;1;17
F02667;Hun utca;47.524185;19.075211;;;;2;-129
F02668;Hun utca;47.523961;19.074946;;;;2;51
F02669;Hun utca;47.523936;19.074562;;;;2;-129
F02670;Hun utca;47.524277;19.075691;;;;2;51
F02671;Fáy utca;47.534435;19.087515;;;;1;-158
F02672;Fáy utca;47.534003;19.087514;;;;1;22
F02673;Frangepán utca;47.534365;19.082521;;;;2;20
F02674;Frangepán utca;47.533945;19.082177;;;;2;-161
F02675;Frangepán utca;47.534419;19.082534;;;;2;-159
F02676;Frangepán utca;47.535132;19.083134;;;;2;20
F02677;Forgách utca M;47.537767;19.070291;;;;1;105
F02678;Forgách utca M;47.539458;19.069627;;;;2;-151
F02679;Forgách utca M;47.540046;19.070000;;;;2;18
F02680;Dózsa György út;47.525430;19.063737;F02680;;CSF02680;2;16
F02681;Dózsa György út;47.524358;19.063088;F02681;;CSF02680;2;-163
F02682;Forgách utca;47.539160;19.069648;F02682;;CSL008159;1;16
F02683;Forgách utca;47.538163;19.069055;F02683;;CSL008159;1;-163
